station_id,station_name,date,rain_amount(mm)
466900,淡水,2022-06-22,0.0
466900,淡水,2022-06-23,T
466900,淡水,2022-06-24,1.0
466900,淡水,2022-06-25,2.0
466900,淡水,2022-06-26,0.0
466900,淡水,2022-06-27,0.0
466900,淡水,2022-06-28,0.0
466900,淡水,2022-06-29,T
466900,淡水,2022-06-30,0.0
466900,淡水,2022-07-01,0.0
466900,淡水,2022-07-02,6.5
466900,淡水,2022-07-03,0.5
466900,淡水,2022-07-04,9.5
466900,淡水,2022-07-05,22.5
466900,淡水,2022-07-06,1.0
466900,淡水,2022-07-07,0.0
466900,淡水,2022-07-08,0.0
466900,淡水,2022-07-09,0.0
466900,淡水,2022-07-10,0.0
466900,淡水,2022-07-11,0.0
466900,淡水,2022-07-12,T
466900,淡水,2022-07-13,T
466900,淡水,2022-07-14,0.0
466900,淡水,2022-07-15,0.0
466900,淡水,2022-07-16,0.0
466900,淡水,2022-07-17,0.0
466900,淡水,2022-07-18,0.0
466900,淡水,2022-07-19,T
466900,淡水,2022-07-20,0.5
466900,淡水,2022-07-21,0.0
466900,淡水,2022-07-22,0.0
466900,淡水,2022-07-23,0.0
466900,淡水,2022-07-24,0.0
466900,淡水,2022-07-25,0.0
466900,淡水,2022-07-26,0.0
466900,淡水,2022-07-27,0.0
466900,淡水,2022-07-28,0.0
466900,淡水,2022-07-29,8.0
466900,淡水,2022-07-30,6.5
466900,淡水,2022-07-31,1.0
466900,淡水,2022-08-01,9.5
466900,淡水,2022-08-02,74.5
466900,淡水,2022-08-03,0.0
466900,淡水,2022-08-04,1.0
466900,淡水,2022-08-05,0.0
466900,淡水,2022-08-06,0.0
466900,淡水,2022-08-07,0.0
466900,淡水,2022-08-08,0.0
466900,淡水,2022-08-09,0.0
466900,淡水,2022-08-10,0.0
466900,淡水,2022-08-11,4.5
466900,淡水,2022-08-12,0.0
466900,淡水,2022-08-13,0.0
466900,淡水,2022-08-14,0.0
466900,淡水,2022-08-15,0.0
466900,淡水,2022-08-16,0.0
466900,淡水,2022-08-17,0.0
466900,淡水,2022-08-18,0.5
466900,淡水,2022-08-19,3.5
466900,淡水,2022-08-20,0.0
466900,淡水,2022-08-21,0.0
466900,淡水,2022-08-22,0.0
466900,淡水,2022-08-23,0.0
466900,淡水,2022-08-24,0.0
466900,淡水,2022-08-25,T
466900,淡水,2022-08-26,0.0
466900,淡水,2022-08-27,0.0
466900,淡水,2022-08-28,5.0
466900,淡水,2022-08-29,0.0
466900,淡水,2022-08-30,0.0
466900,淡水,2022-08-31,5.0
466900,淡水,2022-09-01,10.0
466900,淡水,2022-09-02,71.5
466900,淡水,2022-09-03,63.5
466900,淡水,2022-09-04,34.5
466900,淡水,2022-09-05,T
466900,淡水,2022-09-06,2.0
466900,淡水,2022-09-07,T
466900,淡水,2022-09-08,0.0
466900,淡水,2022-09-09,0.0
466900,淡水,2022-09-10,T
466900,淡水,2022-09-11,19.0
466900,淡水,2022-09-12,56.0
466900,淡水,2022-09-13,34.5
466900,淡水,2022-09-14,11.5
466900,淡水,2022-09-15,0.0
466900,淡水,2022-09-16,0.0
466900,淡水,2022-09-17,0.0
466900,淡水,2022-09-18,T
466900,淡水,2022-09-19,0.0
466900,淡水,2022-09-20,0.0
466900,淡水,2022-09-21,0.5
466900,淡水,2022-09-22,0.0
466900,淡水,2022-09-23,T
466900,淡水,2022-09-24,9.5
466900,淡水,2022-09-25,1.5
466900,淡水,2022-09-26,9.5
466900,淡水,2022-09-27,0.0
466900,淡水,2022-09-28,0.0
466900,淡水,2022-09-29,0.0
466900,淡水,2022-09-30,0.0
466900,淡水,2022-10-01,0.0
466900,淡水,2022-10-02,0.0
466900,淡水,2022-10-03,0.0
466900,淡水,2022-10-04,0.0
466900,淡水,2022-10-05,T
466900,淡水,2022-10-06,T
466900,淡水,2022-10-07,11.5
466900,淡水,2022-10-08,0.5
466900,淡水,2022-10-09,0.5
466900,淡水,2022-10-10,2.5
466900,淡水,2022-10-11,0.5
466900,淡水,2022-10-12,0.5
466900,淡水,2022-10-13,13.5
466900,淡水,2022-10-14,23.0
466900,淡水,2022-10-15,95.0
466900,淡水,2022-10-16,139.5
466900,淡水,2022-10-17,103.5
466900,淡水,2022-10-18,8.5
466900,淡水,2022-10-19,T
466900,淡水,2022-10-20,T
466900,淡水,2022-10-21,T
466900,淡水,2022-10-22,1.0
466900,淡水,2022-10-23,1.5
466900,淡水,2022-10-24,0.0
466900,淡水,2022-10-25,0.0
466900,淡水,2022-10-26,0.0
466900,淡水,2022-10-27,T
466900,淡水,2022-10-28,1.5
466900,淡水,2022-10-29,2.0
466900,淡水,2022-10-30,15.0
466900,淡水,2022-10-31,69.5
466900,淡水,2022-11-01,21.0
466900,淡水,2022-11-02,T
466900,淡水,2022-11-03,0.0
466900,淡水,2022-11-04,T
466900,淡水,2022-11-05,T
466900,淡水,2022-11-06,0.0
466900,淡水,2022-11-07,T
466900,淡水,2022-11-08,T
466900,淡水,2022-11-09,0.0
466900,淡水,2022-11-10,0.0
466900,淡水,2022-11-11,0.0
466900,淡水,2022-11-12,0.0
466900,淡水,2022-11-13,T
466900,淡水,2022-11-14,0.0
466900,淡水,2022-11-15,0.0
466900,淡水,2022-11-16,0.5
466900,淡水,2022-11-17,0.0
466900,淡水,2022-11-18,0.0
466900,淡水,2022-11-19,0.0
466900,淡水,2022-11-20,0.0
466900,淡水,2022-11-21,0.0
466900,淡水,2022-11-22,T
466900,淡水,2022-11-23,15.0
466900,淡水,2022-11-24,69.5
466900,淡水,2022-11-25,32.5
466900,淡水,2022-11-26,1.0
466900,淡水,2022-11-27,T
466900,淡水,2022-11-28,0.0
466900,淡水,2022-11-29,T
466900,淡水,2022-11-30,1.5
466900,淡水,2022-12-01,4.0
466900,淡水,2022-12-02,1.5
466900,淡水,2022-12-03,1.0
466900,淡水,2022-12-04,2.5
466900,淡水,2022-12-05,20.5
466900,淡水,2022-12-06,2.5
466900,淡水,2022-12-07,0.5
466900,淡水,2022-12-08,T
466900,淡水,2022-12-09,6.0
466900,淡水,2022-12-10,3.5
466900,淡水,2022-12-11,37.5
466900,淡水,2022-12-12,T
466900,淡水,2022-12-13,2.0
466900,淡水,2022-12-14,T
466900,淡水,2022-12-15,8.5
466900,淡水,2022-12-16,11.5
466900,淡水,2022-12-17,34.0
466900,淡水,2022-12-18,0.0
466900,淡水,2022-12-19,0.0
466900,淡水,2022-12-20,0.0
466900,淡水,2022-12-21,T
466900,淡水,2022-12-22,0.0
466900,淡水,2022-12-23,0.0
466900,淡水,2022-12-24,0.0
466900,淡水,2022-12-25,0.0
466900,淡水,2022-12-26,0.0
466900,淡水,2022-12-27,0.0
466900,淡水,2022-12-28,T
466900,淡水,2022-12-29,2.5
466900,淡水,2022-12-30,2.5
466900,淡水,2022-12-31,0.5
466910,鞍部,2022-01-01,1.5
466910,鞍部,2022-01-02,2.0
466910,鞍部,2022-01-03,T
466910,鞍部,2022-01-04,2.0
466910,鞍部,2022-01-05,1.5
466910,鞍部,2022-01-06,25.5
466910,鞍部,2022-01-07,11.0
466910,鞍部,2022-01-08,2.0
466910,鞍部,2022-01-09,4.5
466910,鞍部,2022-01-10,3.0
466910,鞍部,2022-01-11,21.0
466910,鞍部,2022-01-12,4.5
466910,鞍部,2022-01-13,2.5
466910,鞍部,2022-01-14,0.0
466910,鞍部,2022-01-15,T
466910,鞍部,2022-01-16,2.0
466910,鞍部,2022-01-17,22.5
466910,鞍部,2022-01-18,24.0
466910,鞍部,2022-01-19,13.0
466910,鞍部,2022-01-20,10.5
466910,鞍部,2022-01-21,44.5
466910,鞍部,2022-01-22,48.5
466910,鞍部,2022-01-23,T
466910,鞍部,2022-01-24,5.5
466910,鞍部,2022-01-25,2.5
466910,鞍部,2022-01-26,3.0
466910,鞍部,2022-01-27,0.5
466910,鞍部,2022-01-28,20.5
466910,鞍部,2022-01-29,20.5
466910,鞍部,2022-01-30,30.5
466910,鞍部,2022-01-31,T
466910,鞍部,2022-02-01,24.5
466910,鞍部,2022-02-02,19.0
466910,鞍部,2022-02-03,43.5
466910,鞍部,2022-02-04,17.0
466910,鞍部,2022-02-05,11.5
466910,鞍部,2022-02-06,10.5
466910,鞍部,2022-02-07,16.5
466910,鞍部,2022-02-08,8.0
466910,鞍部,2022-02-09,13.5
466910,鞍部,2022-02-10,4.5
466910,鞍部,2022-02-11,T
466910,鞍部,2022-02-12,4.0
466910,鞍部,2022-02-13,13.5
466910,鞍部,2022-02-14,47.5
466910,鞍部,2022-02-15,3.5
466910,鞍部,2022-02-16,13.0
466910,鞍部,2022-02-17,43.5
466910,鞍部,2022-02-18,41.5
466910,鞍部,2022-02-19,52.0
466910,鞍部,2022-02-20,64.5
466910,鞍部,2022-02-21,90.0
466910,鞍部,2022-02-22,78.5
